업무구분,업무여부,구분,입찰공고번호,공고명,공고기관,수요기관,게시일시(입찰마감일시),매칭 키워드,매칭 스코어,AI 적합도,AI 분석 근거
일반용역,내자,등록공고,R26BK01535166-000,응급의료 빅데이터 분석 플랫폼 구축을 위한 응급의료 모니터링 시스템 고도화 사업,국립중앙의료원,국립중앙의료원,2026/05/20 16:04(2026/06/30 14:00),"분석, 시스템, 빅데이터",3,98,기업은 빅데이터 분석 플랫폼 구축 및 시스템 고도화 역량을 보유하고 있어 응급의료 빅데이터 분석 플랫폼 구축에 최적의 적합도를 보입니다.
일반용역,내자,등록공고,R26BK01425876-000,2026 AI 기반 한류 빅데이터 대시보드 운영 용역,(재)한국국제문화교류진흥원,(재)한국국제문화교류진흥원,2026/03/27 10:46(2026/04/10 11:00),"AI, 대시보드, 빅데이터",3,97,기업은 AI 기반 빅데이터 대시보드 구축 및 운영 경험이 풍부하여 한류 빅데이터 대시보드 운영 용역에 매우 적합합니다.
일반용역,내자,등록공고,E082600159-00,한국동서발전 AIㆍ데이터 분석과제 솔루션 개발 용역(협상에 의한 계약),한국동서발전주식회사,계약자재부,2026/04/03 14:30(2026/04/15 14:00),"분석, AI, 솔루션",3,96,기업은 AI 및 데이터 분석 컨설팅과 솔루션 개발 역량을 보유하고 있어 해당 분석과제 솔루션 개발 용역에 매우 높은 적합도를 보입니다.
일반용역,내자,등록공고,R26BK01429914-000,GPU기반 AI 빅데이터 분석 인프라(분석환경) 구축용역,조달청 서울지방조달청,중소벤처기업연구원,2026/03/31 13:58(2026/04/16 10:00),"분석, AI, 빅데이터",3,95,기업은 데이터 분석 및 플랫폼 구축 경험이 풍부하여 GPU 기반 AI 빅데이터 분석 인프라 구축에 매우 높은 적합도를 보입니다.
일반용역,내자,변경공고,R26BK01365284-001,[변경공고] 2026 KVA V3 디비전리그 시스템 인프라 및 AI 전력분석 고도화 용역,사단법인 대한민국배구협회,사단법인 대한민국배구협회,2026/03/06 16:35(2026/04/17 16:00),"분석, AI, 시스템",3,92,기업은 AI 기반 데이터 분석 및 시스템 고도화 역량을 보유하고 있어 전력분석 고도화 용역에 적합합니다.
일반용역,내자,등록공고,R26BK01529804-000,AI·빅데이터 분석기반 보훈심사 지원시스템 구축,조달청 대구지방조달청,한국지능정보사회진흥원,2026/05/19 13:13(2026/06/02 10:00),"분석, AI, 시스템, 빅데이터",4,90,기업은 빅데이터 분석 및 시스템 구축 역량을 보유하고 있어 AI 기반의 보훈심사 지원시스템 구축에 매우 적합합니다.
일반용역,내자,취소공고,R26BK01520892-001,AI·빅데이터 분석기반 보훈심사 지원시스템 구축,조달청 대구지방조달청,한국지능정보사회진흥원,2026/05/18 16:31(2026/05/29 10:00),"분석, AI, 시스템, 빅데이터",4,90,기업은 빅데이터 분석 및 시스템 구축 역량을 보유하고 있어 AI 기반의 보훈심사 지원시스템 구축에 매우 적합합니다.
일반용역,내자,재공고,R26BK01413380-000,부산대학교 AI 기반 맞춤형 교육지원시스템(2단계) 구축 ,조달청 부산지방조달청,부산대학교,2026/03/23 14:00(2026/04/03 10:00),"AI, 시스템, 맞춤형",3,88,"기업은 AI 기반 시스템 구축 역량을 보유하고 있으며, 데이터 분석을 통한 맞춤형 시스템 구축에 적합합니다."
일반용역,내자,등록공고,202602417-00,AI 기반 방음시설 형상정보 분석을 통한 상태점검 자동화 체계 연구,한국도로공사,한국도로공사도로교통연구원,2026/03/19 00:00(2026/05/04 11:00),"분석, AI, 자동화",3,60,"AI 기반 분석 역량은 있으나, 특정 시설의 형상 정보 분석 및 상태 점검 자동화 연구는 기업의 기존 실적과 직접적인 연관성이 낮습니다."
일반용역,내자,등록공고,R26BK01498835-000, 2026 LIPS AI 기반 사업비 자동화 솔루션,사단법인 초기투자액셀러레이터협회,사단법인 초기투자액셀러레이터협회,2026/04/30 10:27(2026/06/11 14:00),"AI, 솔루션, 자동화",3,55,"AI 기반 역량은 있으나, 사업비 자동화 솔루션 개발은 기업의 데이터 분석 및 대시보드 구축 실적과 직접적인 연관성이 낮습니다."
